"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D46","BAV70A-SOT-23","310.6362mm","89.5094mm","310.6362mm","89.5094mm","309.6202mm","89.5094mm","B","270.00",""
"D47","BAV70A-SOT-23","311.292mm","70.4852mm","311.292mm","70.4852mm","310.276mm","70.4852mm","B","270.00",""
"D48","BAV70A-SOT-23","311.267mm","13.4852mm","311.267mm","13.4852mm","310.251mm","13.4852mm","B","270.00",""
"D49","BAV70A-SOT-23","329.9669mm","92.2102mm","329.9669mm","92.2102mm","328.9509mm","92.2102mm","B","270.00",""
"D50","BAV70A-SOT-23","330.267mm","70.4852mm","330.267mm","70.4852mm","329.2509mm","70.4852mm","B","270.00",""
"D51","BAV70A-SOT-23","343.0919mm","13.3102mm","343.0919mm","13.3102mm","343.0919mm","14.3262mm","B","180.00",""
"D52","BAV70A-SOT-23","354.2339mm","70.4981mm","354.2339mm","70.4981mm","353.2179mm","70.4981mm","B","270.00",""
"D53","BAV70A-SOT-23","354.383mm","32.4852mm","354.383mm","32.4852mm","353.367mm","32.4852mm","B","270.00",""
"D54","BAV70A-SOT-23","373.417mm","70.4852mm","373.417mm","70.4852mm","372.401mm","70.4852mm","B","270.00",""
"D55","BAV70A-SOT-23","373.408mm","32.4852mm","373.408mm","32.4852mm","372.392mm","32.4852mm","B","270.00",""
"D56","BAV70A-SOT-23","363.942mm","12.9852mm","363.942mm","12.9852mm","362.926mm","12.9852mm","B","270.00",""
"D57","BAV70A-SOT-23","391.401mm","70.4852mm","391.401mm","70.4852mm","390.385mm","70.4852mm","B","270.00",""
"D58","BAV70A-SOT-23","392.383mm","32.5102mm","392.383mm","32.5102mm","391.367mm","32.5102mm","B","270.00",""
"D59","BAV70A-SOT-23","392.442mm","12.5352mm","392.442mm","12.5352mm","391.426mm","12.5352mm","B","270.00",""
"D60","BAV70A-SOT-23","411.417mm","60.9602mm","411.417mm","60.9602mm","410.401mm","60.9602mm","B","270.00",""
"D61","BAV70A-SOT-23","411.2419mm","22.9602mm","411.2419mm","22.9602mm","410.226mm","22.9602mm","B","270.00",""
"LED70","LED_RGB","231.6656mm","52.4051mm","231.6656mm","52.4051mm","234.3156mm","53.2051mm","B","180.00","' ""
"LED36","LED_RGB","398.5656mm","90.4051mm","398.5656mm","90.4051mm","395.9156mm","91.2051mm","B","180.00","*"
"LED58","LED_RGB","417.5657mm","61.9051mm","417.5657mm","61.9051mm","420.2157mm","62.7051mm","B","180.00","+"
"LED83","LED_RGB","184.1656mm","33.405mm","184.1656mm","33.405mm","181.5156mm","34.205mm","B","180.00",",<"
"LED37","LED_RGB","417.5656mm","90.4051mm","417.5656mm","90.4051mm","420.2156mm","91.2051mm","B","180.00","-"
"LED28","LED_RGB","217.4156mm","90.4051mm","217.4156mm","90.4051mm","214.7656mm","91.2051mm","B","180.00","-_"
"LED84","LED_RGB","203.1656mm","33.405mm","203.1656mm","33.405mm","205.8156mm","34.205mm","B","180.00",".>"
"LED104","LED_RGB","398.5656mm","14.405mm","398.5656mm","14.405mm","395.9156mm","15.205mm","B","180.00",".Del"
"LED35","LED_RGB","379.5656mm","90.4051mm","379.5656mm","90.4051mm","382.2156mm","91.2051mm","B","180.00","/"
"LED103","LED_RGB","370.0656mm","14.405mm","370.0656mm","14.405mm","367.4156mm","15.205mm","B","180.00","0 Ins"
"LED27","LED_RGB","198.4156mm","90.4051mm","198.4156mm","90.4051mm","201.0656mm","91.2051mm","B","180.00","0)"
"C1","0603C","168.2387mm","14.025mm","168.2511mm","14.0276mm","168.2387mm","13.263mm","B","90.00","0.1uF/+80%-20%/25V"
"CA8","0603C","304.6275mm","35.3348mm","304.6249mm","35.3472mm","305.3895mm","35.3348mm","B","180.00","0.1uF/+80%-20%/25V"
"CA11","0603C","292.6066mm","32.7427mm","292.604mm","32.7552mm","293.3686mm","32.7427mm","B","180.00","0.1uF/+80%-20%/25V"
"R5","0603R","286.8736mm","135.315mm","286.8562mm","135.3199mm","287.6356mm","135.315mm","B","180.00","0R"
"RA1","0603R","356.2142mm","116.4526mm","356.2316mm","116.4477mm","355.4522mm","116.4526mm","B","360.00","1M±5%"
"RR1","0603R","316.197mm","54.4144mm","316.1796mm","54.4192mm","316.959mm","54.4144mm","B","180.00","82R±5%"
"RR2","0603R","319.547mm","54.4144mm","319.5296mm","54.4192mm","320.309mm","54.4144mm","B","180.00","10R±5%"
"RR3","0603R","322.8721mm","54.4144mm","322.8546mm","54.4192mm","323.6341mm","54.4144mm","B","180.00","10R±5%"
"RR4","0603R","326.1926mm","54.4192mm","326.1752mm","54.424mm","326.9546mm","54.4192mm","B","180.00","82R±5%"
"RR5","0603R","329.6177mm","54.4942mm","329.6003mm","54.499mm","330.3797mm","54.4942mm","B","180.00","10R±5%"
