"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"RC14","0603R","269.1343mm","94.6927mm","269.1169mm","94.6975mm","269.8963mm","94.6927mm","B","180.00","10R±5%"
"RC15","0603R","302.7093mm","94.7177mm","302.692mm","94.7225mm","303.4713mm","94.7177mm","B","180.00","10R±5%"
"RC16","0603R","321.7217mm","94.7054mm","321.7043mm","94.7102mm","322.4837mm","94.7054mm","B","180.00","10R±5%"
"RC17","0603R","340.7967mm","94.7304mm","340.7792mm","94.7352mm","341.5587mm","94.7304mm","B","180.00","10R±5%"
"RC18","0603R","364.9343mm","94.7427mm","364.9169mm","94.7475mm","365.6963mm","94.7427mm","B","180.00","10R±5%"
"RC19","0603R","383.8843mm","94.7304mm","383.8669mm","94.7352mm","384.6463mm","94.7304mm","B","180.00","10R±5%"
"RC20","0603R","402.8093mm","94.6927mm","402.792mm","94.6975mm","403.5713mm","94.6927mm","B","180.00","10R±5%"
"RC21","0603R","421.8717mm","94.7054mm","421.8543mm","94.7102mm","422.6337mm","94.7054mm","B","180.00","10R±5%"
"Q19","SOT-23_PNP","8.909mm","94.6975mm","8.767mm","94.6975mm","7.751mm","95.65mm","B","90.00","8550"
"Q20","SOT-23_PNP","27.834mm","94.7225mm","27.692mm","94.7225mm","26.676mm","95.675mm","B","90.00","8550"
"Q21","SOT-23_PNP","46.859mm","94.6975mm","46.7169mm","94.6975mm","45.7009mm","95.65mm","B","90.00","8550"
"Q22","SOT-23_PNP","65.884mm","94.6975mm","65.742mm","94.6975mm","64.726mm","95.65mm","B","90.00","8550"
"Q23","SOT-23_PNP","84.909mm","94.6975mm","84.767mm","94.6975mm","83.751mm","95.65mm","B","90.00","8550"
"Q24","SOT-23_PNP","103.884mm","94.6975mm","103.742mm","94.6975mm","102.726mm","95.65mm","B","90.00","8550"
"Q25","SOT-23_PNP","122.8589mm","94.7475mm","122.7169mm","94.7475mm","121.701mm","95.7mm","B","90.00","8550"
"Q26","SOT-23_PNP","141.884mm","94.6975mm","141.742mm","94.6975mm","140.726mm","95.65mm","B","90.00","8550"
"Q27","SOT-23_PNP","160.834mm","94.6975mm","160.692mm","94.6975mm","159.676mm","95.65mm","B","90.00","8550"
"Q28","SOT-23_PNP","179.859mm","94.6975mm","179.717mm","94.6975mm","178.701mm","95.65mm","B","90.00","8550"
"Q29","SOT-23_PNP","198.909mm","94.6975mm","198.767mm","94.6975mm","197.751mm","95.65mm","B","90.00","8550"
"Q30","SOT-23_PNP","217.859mm","94.6975mm","217.717mm","94.6975mm","216.701mm","95.65mm","B","90.00","8550"
"Q31","SOT-23_PNP","236.8589mm","94.6975mm","236.7169mm","94.6975mm","235.701mm","95.65mm","B","90.00","8550"
"Q32","SOT-23_PNP","265.359mm","94.6975mm","265.217mm","94.6975mm","264.201mm","95.65mm","B","90.00","8550"
"Q33","SOT-23_PNP","298.884mm","94.6975mm","298.742mm","94.6975mm","297.726mm","95.65mm","B","90.00","8550"
"Q34","SOT-23_PNP","317.884mm","94.6975mm","317.742mm","94.6975mm","316.726mm","95.65mm","B","90.00","8550"
"Q35","SOT-23_PNP","336.884mm","94.7225mm","336.742mm","94.7225mm","335.726mm","95.675mm","B","90.00","8550"
"Q36","SOT-23_PNP","361.059mm","94.7475mm","360.917mm","94.7475mm","359.901mm","95.7mm","B","90.00","8550"
"Q37","SOT-23_PNP","380.034mm","94.7225mm","379.892mm","94.7225mm","378.8759mm","95.675mm","B","90.00","8550"
"Q38","SOT-23_PNP","399.009mm","94.6975mm","398.867mm","94.6975mm","397.851mm","95.65mm","B","90.00","8550"
"Q39","SOT-23_PNP","418.034mm","94.6975mm","417.892mm","94.6975mm","416.8759mm","95.65mm","B","90.00","8550"
"LED56","LED_RGB","379.5656mm","71.405mm","379.5656mm","71.405mm","382.2156mm","72.205mm","B","180.00","8↑"
"LED57","LED_RGB","398.5656mm","71.405mm","398.5656mm","71.405mm","395.9156mm","72.205mm","B","180.00","9 Pgup"
"LED26","LED_RGB","179.4156mm","90.4051mm","179.4156mm","90.4051mm","182.0656mm","91.2051mm","B","180.00","9("
"LED69","LED_RGB","212.6656mm","52.4051mm","212.6656mm","52.4051mm","210.0156mm","53.2051mm","B","180.00",";:"
"LED29","LED_RGB","236.4156mm","90.4051mm","236.4156mm","90.4051mm","239.0656mm","91.2051mm","B","180.00","=+"
"LED60","LED_RGB","41.6656mm","52.4051mm","41.6656mm","52.4051mm","39.0156mm","53.2051mm","B","180.00","A"
"LED96","LED_RGB","200.7906mm","14.405mm","200.7906mm","14.405mm","203.4406mm","15.205mm","B","180.00","ALT_R"
"LED94","LED_RGB","58.2906mm","14.405mm","58.2906mm","14.405mm","55.6406mm","15.205mm","B","180.00","Alt-L"
"LED98","LED_RGB","248.2906mm","14.405mm","248.2906mm","14.405mm","250.9406mm","15.205mm","B","180.00","Fn"
"LED80","LED_RGB","127.1656mm","33.405mm","127.1656mm","33.405mm","124.5156mm","34.205mm","B","180.00","B"
"LED30","LED_RGB","264.9156mm","90.4051mm","264.9156mm","90.4051mm","267.5656mm","91.2051mm","B","180.00","Back Space"
"LED78","LED_RGB","89.1656mm","33.405mm","89.1656mm","33.405mm","86.5156mm","34.205mm","B","180.00","C"
"JC2","CON6-2.54MM","256.017mm","-4.9898mm","263.517mm","-4.9898mm","263.517mm","-4.9898mm","B","90.00","CON6-2.54MM"
"LED59","LED_RGB","15.5406mm","52.4051mm","15.5406mm","52.4051mm","18.1906mm","53.2051mm","B","180.00","Caps Lock"
"LED92","LED_RGB","10.7906mm","14.405mm","10.7906mm","14.405mm","8.1406mm","15.205mm","B","180.00","Ctrl-L"
"LED99","LED_RGB","272.0406mm","14.405mm","272.0406mm","14.405mm","274.6906mm","15.205mm","B","180.00","Ctrl-R"
"LED62","LED_RGB","79.6656mm","52.4051mm","79.6656mm","52.4051mm","77.0156mm","53.2051mm","B","180.00","D"
"LED52","LED_RGB","298.4156mm","71.405mm","298.4156mm","71.405mm","301.0656mm","72.205mm","B","180.00","Delete"
"LED41","LED_RGB","74.9156mm","71.405mm","74.9156mm","71.405mm","72.2656mm","72.205mm","B","180.00","E"
"LED51","LED_RGB","272.0294mm","61.9035mm","272.0294mm","61.9035mm","274.6794mm","62.7035mm","B","180.00","Enter_L"
"U2","ESD","71.643mm","11.1592mm","72.8828mm","13.9185mm","72.8919mm","13.9102mm","B","90.00","VS01-SOP-4"
"LED53","LED_RGB","317.4156mm","71.405mm","317.4156mm","71.405mm","314.7656mm","72.205mm","B","180.00","End"
"LED91","LED_RGB","417.5656mm","23.9051mm","417.5656mm","23.9051mm","420.2156mm","24.7051mm","B","180.00","Enter-R"
"LED1","LED_6028RGBA","8.4156mm","113.405mm","8.4156mm","113.405mm","5.7656mm","114.205mm","B","180.00","Esc"
"LED63","LED_RGB","98.6656mm","52.4051mm","98.6656mm","52.4051mm","96.0156mm","53.2051mm","B","180.00","F"
"LED11","LED_RGB","236.4156mm","113.4051mm","236.4156mm","113.4051mm","239.0656mm","114.2051mm","B","180.00","F10"
"LED12","LED_RGB","255.4156mm","113.4051mm","255.4156mm","113.4051mm","252.7656mm","114.2051mm","B","180.00","F11"
"LED14","LED_RGB","298.4156mm","113.4051mm","298.4156mm","113.4051mm","301.0656mm","114.2051mm","B","180.00","F12"
"LED3","LED_RGB","65.4156mm","113.4051mm","65.4156mm","113.4051mm","62.7656mm","114.2051mm","B","180.00","F2"
"LED4","LED_RGB","84.4156mm","113.4051mm","84.4156mm","113.4051mm","87.0656mm","114.2051mm","B","180.00","F3"
"LED5","LED_RGB","103.4156mm","113.4051mm","103.4156mm","113.4051mm","100.7656mm","114.2051mm","B","180.00","F4"
"LED6","LED_RGB","131.9156mm","113.4051mm","131.9156mm","113.4051mm","134.5656mm","114.2051mm","B","180.00","F5"
"LED7","LED_RGB","150.9156mm","113.4051mm","150.9156mm","113.4051mm","148.2656mm","114.2051mm","B","180.00","F6"
"LED8","LED_RGB","169.9156mm","113.4051mm","169.9156mm","113.4051mm","172.5656mm","114.2051mm","B","180.00","F7"
"LED9","LED_RGB","188.9156mm","113.4051mm","188.9156mm","113.4051mm","186.2656mm","114.2051mm","B","180.00","F8"
"LED10","LED_RGB","217.4156mm","113.4051mm","217.4156mm","113.4051mm","220.0656mm","114.2051mm","B","180.00","F9"
"LED97","LED_RGB","224.5406mm","14.405mm","224.5406mm","14.405mm","221.8906mm","15.205mm","B","180.00","Win_R"
"LED64","LED_RGB","117.6656mm","52.4051mm","117.6656mm","52.4051mm","120.3156mm","53.2051mm","B","180.00","G"
"LED65","LED_RGB","136.6656mm","52.4051mm","136.6656mm","52.4051mm","134.0156mm","53.2051mm","B","180.00","H"
"LED32","LED_RGB","317.4156mm","90.4051mm","317.4156mm","90.4051mm","320.0656mm","91.2051mm","B","180.00","Home"
"LED46","LED_RGB","169.9156mm","71.405mm","169.9156mm","71.405mm","167.2656mm","72.205mm","B","180.00","I"
"LED31","LED_RGB","298.4156mm","90.4051mm","298.4156mm","90.4051mm","301.0656mm","91.2051mm","B","180.00","Insert"
"LED66","LED_RGB","155.6656mm","52.4051mm","155.6656mm","52.4051mm","153.0156mm","53.2051mm","B","180.00","J"
"LED67","LED_RGB","174.6656mm","52.4051mm","174.6656mm","52.4051mm","177.3156mm","53.2051mm","B","180.00","K"
"LED105","LED_RGB","32.1656mm","33.405mm","32.1656mm","33.405mm","29.5156mm","34.205mm","B","180.00","K45"
"LED71","LED_RGB","250.6656mm","52.4051mm","250.6656mm","52.4051mm","253.3156mm","53.2051mm","B","180.00","K42"
"LED68","LED_RGB","193.6656mm","52.4051mm","193.6656mm","52.4051mm","191.0156mm","53.2051mm","B","180.00","L"
"LD1","LED_1206","226.337mm","114.7602mm","227.042mm","114.7602mm","224.472mm","114.7602mm","B","360.00","020 RGB"
"LD2","LED_1206","198.1869mm","115.0352mm","198.892mm","115.0352mm","197.6519mm","115.0352mm","B","360.00","020 RGB"
"LD3","LED_1206","176.537mm","114.7602mm","177.242mm","114.7602mm","174.672mm","114.7602mm","B","360.00","020 RGB"
"LD4","LED_1206","157.437mm","115.2852mm","158.142mm","115.2852mm","156.9019mm","115.2852mm","B","360.00","020 RGB"
"LD5","LED_1206","139.412mm","115.0102mm","140.117mm","115.0102mm","137.547mm","115.0102mm","B","360.00","020 RGB"
"LD6","LED_1206","117.487mm","114.9852mm","118.192mm","114.9852mm","116.952mm","114.9852mm","B","360.00","020 RGB"
"LD7","LED_1206","96.512mm","114.9852mm","97.2169mm","114.9852mm","94.647mm","114.9852mm","B","360.00","020 RGB"
"LD8","LED_1206","77.7369mm","114.9852mm","78.442mm","114.9852mm","77.2019mm","114.9852mm","B","360.00","020 RGB"
"LD9","LED_1206","58.537mm","115.0352mm","59.242mm","115.0352mm","56.672mm","115.0352mm","B","360.00","020 RGB"
"LD10","LED_1206","39.712mm","114.9852mm","40.417mm","114.9852mm","39.177mm","114.9852mm","B","360.00","020 RGB"
"LD11","LED_1206","28.087mm","115.0102mm","28.792mm","115.0102mm","27.552mm","115.0102mm","B","360.00","020 RGB"
"LD12","LED_1206","16.587mm","114.9852mm","17.292mm","114.9852mm","14.722mm","114.9852mm","B","360.00","020 RGB"
"LD13","LED_1206","1.442mm","95.2552mm","1.442mm","95.9602mm","1.442mm","93.3902mm","B","90.00","020 RGB"
"LD14","LED_1206","1.442mm","75.2052mm","1.442mm","75.9102mm","1.442mm","74.6702mm","B","90.00","020 RGB"
"LD15","LED_1206","1.442mm","55.9802mm","1.442mm","56.6852mm","1.442mm","54.1152mm","B","90.00","020 RGB"
"LD16","LED_1206","1.417mm","37.1802mm","1.417mm","37.8852mm","1.417mm","36.6452mm","B","90.00","020 RGB"
"LD17","LED_1206","1.367mm","18.2052mm","1.367mm","18.9102mm","1.367mm","16.3402mm","B","90.00","020 RGB"
"LD18","LED_1206","34.772mm","-0.4648mm","34.067mm","-0.4648mm","35.307mm","-0.4648mm","B","180.00","020 RGB"
"LD19","LED_1206","54.672mm","-0.4648mm","53.9669mm","-0.4648mm","56.537mm","-0.4648mm","B","180.00","020 RGB"
"LD20","LED_1206","73.822mm","-0.4648mm","73.117mm","-0.4648mm","74.3569mm","-0.4648mm","B","180.00","020 RGB"
"LD21","LED_1206","92.322mm","-0.4648mm","91.617mm","-0.4648mm","94.187mm","-0.4648mm","B","180.00","020 RGB"
"LD22","LED_1206","120.372mm","-0.4648mm","119.667mm","-0.4648mm","120.907mm","-0.4648mm","B","180.00","020 RGB"
"LD23","LED_1206","139.922mm","-0.4648mm","139.217mm","-0.4648mm","141.787mm","-0.4648mm","B","180.00","020 RGB"
"LD24","LED_1206","154.947mm","-0.4648mm","154.242mm","-0.4648mm","155.482mm","-0.4648mm","B","180.00","020 RGB"
"LD25","LED_1206","168.772mm","-0.4648mm","168.0669mm","-0.4648mm","170.637mm","-0.4648mm","B","180.00","020 RGB"
"LD26","LED_1206","182.9469mm","-0.4648mm","182.242mm","-0.4648mm","183.482mm","-0.4648mm","B","180.00","020 RGB"
"LD27","LED_1206","203.347mm","-0.4648mm","202.642mm","-0.4648mm","205.212mm","-0.4648mm","B","180.00","020 RGB"
"LD28","LED_1206","218.0719mm","-0.4648mm","217.367mm","-0.4648mm","218.607mm","-0.4648mm","B","180.00","020 RGB"
"LD29","LED_1206","242.5044mm","-0.2559mm","241.842mm","-0.0148mm","243.0072mm","-0.4389mm","B","160.00","020 RGB"
"LD32","LED_1206","267.972mm","-0.4898mm","267.267mm","-0.4898mm","268.507mm","-0.4898mm","B","180.00","020 RGB"
"LD33","LED_1206","286.047mm","-0.4148mm","285.3419mm","-0.4148mm","287.912mm","-0.4148mm","B","180.00","020 RGB"
"LD34","LED_1206","308.222mm","-0.3898mm","307.517mm","-0.3898mm","308.757mm","-0.3898mm","B","180.00","020 RGB"
"LD35","LED_1206","338.147mm","-0.3898mm","337.442mm","-0.3898mm","340.012mm","-0.3898mm","B","180.00","020 RGB"
"LD36","LED_1206","353.497mm","-0.4148mm","352.7919mm","-0.4148mm","354.032mm","-0.4148mm","B","180.00","020 RGB"
"LD37","LED_1206","370.2219mm","-0.4148mm","369.517mm","-0.4148mm","372.087mm","-0.4148mm","B","180.00","020 RGB"
"LD38","LED_1206","387.547mm","-0.4148mm","386.8419mm","-0.4148mm","388.082mm","-0.4148mm","B","180.00","020 RGB"
"LD39","LED_1206","427.467mm","21.5902mm","427.467mm","20.8852mm","427.467mm","23.4552mm","B","270.00","020 RGB"
"LD40","LED_1206","427.467mm","37.7652mm","427.467mm","37.0602mm","427.467mm","38.3002mm","B","270.00","020 RGB"
"LD41","LED_1206","427.492mm","59.4152mm","427.492mm","58.7102mm","427.492mm","61.2802mm","B","270.00","020 RGB"
"LD42","LED_1206","427.442mm","75.5652mm","427.442mm","74.8602mm","427.442mm","76.1002mm","B","270.00","020 RGB"
"LD43","LED_1206","427.442mm","95.4152mm","427.442mm","94.7102mm","427.442mm","97.2802mm","B","270.00","020 RGB"
"LED82","LED_RGB","165.1656mm","33.405mm","165.1656mm","33.405mm","167.8156mm","34.205mm","B","180.00","M"
"LED81","LED_RGB","146.1656mm","33.405mm","146.1656mm","33.405mm","143.5156mm","34.205mm","B","180.00","N"
"C3","0603C","149.2946mm","6.3728mm","149.292mm","6.3852mm","150.0565mm","6.3728mm","B","180.00","NC"
"CA3","0603C","356.2289mm","117.9102mm","356.2316mm","117.8978mm","355.4669mm","117.9102mm","B","360.00","470PF±10%/50V"
"R19","0603R","168.8746mm","10.79mm","168.892mm","10.7852mm","168.1126mm","10.79mm","B","360.00","NC"
"R93","0603R","72.1133mm","16.0813mm","72.1078mm","16.0935mm","71.3513mm","16.0813mm","B","360.00","NC"
"C2","0603C","174.3394mm","16.3226mm","174.342mm","16.3102mm","173.5774mm","16.3226mm","B","360.00","0.1uF/+80%-20%/25V"
"R5A","0603R","286.854mm","133.7852mm","286.8366mm","133.79mm","287.616mm","133.7852mm","B","180.00","NC"
"LED34","LED_RGB","360.5656mm","90.4051mm","360.5656mm","90.4051mm","363.2156mm","91.2051mm","B","180.00","Num Lock"
"LED47","LED_RGB","188.9156mm","71.405mm","188.9156mm","71.405mm","186.2656mm","72.205mm","B","180.00","O"
"LED54","LED_RGB","336.4156mm","71.405mm","336.4156mm","71.405mm","339.0656mm","72.205mm","B","180.00","Page Down"
"LED33","LED_RGB","336.4156mm","90.4051mm","336.4156mm","90.4051mm","333.7656mm","91.2051mm","B","180.00","Page Up"
"LED16","LED_RGB","336.4156mm","113.4051mm","336.4156mm","113.4051mm","339.0656mm","114.2051mm","B","180.00","Pause"
"LED13","LED_RGB","274.4156mm","113.4051mm","274.4156mm","113.4051mm","271.7656mm","114.2051mm","B","180.00","Print screen"
"LED39","LED_RGB","36.9156mm","71.405mm","36.9156mm","71.405mm","39.5656mm","72.205mm","B","180.00","Q"
"LED42","LED_RGB","93.9156mm","71.405mm","93.9156mm","71.405mm","91.2656mm","72.205mm","B","180.00","R"
"LED61","LED_RGB","60.6656mm","52.4051mm","60.6656mm","52.4051mm","63.3156mm","53.2051mm","B","180.00","S"
"LED15","LED_RGB","317.4156mm","113.4051mm","317.4156mm","113.4051mm","314.7656mm","114.2051mm","B","180.00","Scroll Lock"
"LED75","LED_RGB","20.2906mm","33.405mm","20.2906mm","33.405mm","22.9406mm","34.205mm","B","180.00","Shift-L"
"LED107","LED_RGB","10.7906mm","33.4097mm","10.7906mm","33.4097mm","8.1406mm","34.2097mm","B","180.00","Shift-L"
"LED86","LED_RGB","257.7906mm","33.405mm","257.7906mm","33.405mm","260.4406mm","34.205mm","B","180.00","Shift-R"
"LED95","LED_RGB","129.5406mm","14.405mm","129.5406mm","14.405mm","126.8906mm","15.205mm","B","180.00","Space"
"LED43","LED_RGB","112.9156mm","71.405mm","112.9156mm","71.405mm","115.5656mm","72.205mm","B","180.00","T"
"LED38","LED_RGB","13.1656mm","71.405mm","13.1656mm","71.405mm","10.5156mm","72.205mm","B","180.00","Tab"
"LED45","LED_RGB","150.9156mm","71.405mm","150.9156mm","71.405mm","153.5656mm","72.205mm","B","180.00","U"
"LED79","LED_RGB","108.1656mm","33.405mm","108.1656mm","33.405mm","105.5156mm","34.205mm","B","180.00","V"
"U1","LQFP64A","297.4669mm","38.9602mm","301.767mm","41.9602mm","301.767mm","41.9602mm","B","180.00","VS11K09A-1-LQFP64"
"U4","SSOP-28","159.1193mm","9.8246mm","156.242mm","11.7102mm","162.4935mm","13.9585mm","B","180.00","VS12L03A-SSOP-28"
"LED40","LED_RGB","55.9156mm","71.405mm","55.9156mm","71.405mm","58.5656mm","72.205mm","B","180.00","W"
"LED93","LED_RGB","34.5406mm","14.405mm","34.5406mm","14.405mm","31.8906mm","15.205mm","B","180.00","Win-L"
"LED77","LED_RGB","70.1656mm","33.405mm","70.1656mm","33.405mm","72.8156mm","34.205mm","B","180.00","X"
"LED44","LED_RGB","131.9156mm","71.405mm","131.9156mm","71.405mm","129.2656mm","72.205mm","B","180.00","Y"
"LED76","LED_RGB","51.1656mm","33.405mm","51.1656mm","33.405mm","53.8156mm","34.205mm","B","180.00","Z"
"LED49","LED_RGB","226.9156mm","71.405mm","226.9156mm","71.405mm","224.2656mm","72.205mm","B","180.00","[{"
"LED50","LED_RGB","245.9156mm","71.405mm","245.9156mm","71.405mm","248.5656mm","72.205mm","B","180.00","]}"
"LED17","LED_RGB","8.4156mm","90.4051mm","8.4156mm","90.4051mm","5.7656mm","91.2051mm","B","180.00","` ~"
"LED102","LED_RGB","336.4156mm","14.405mm","336.4156mm","14.405mm","339.0656mm","15.205mm","B","180.00","→"
"LED100","LED_RGB","298.4156mm","14.405mm","298.4156mm","14.405mm","295.7656mm","15.205mm","B","180.00","←"
"LED87","LED_RGB","317.4156mm","33.405mm","317.4156mm","33.405mm","320.0656mm","34.205mm","B","180.00","↑"
"LED101","LED_RGB","317.4156mm","14.405mm","317.4156mm","14.405mm","314.7656mm","15.205mm","B","180.00","↓"
"CJ1","PCBCOMPONENT_1","262.9821mm","137.3602mm","261.9169mm","136.0852mm","259.4008mm","136.0952mm","B","180.00","HUB"
"WIN","6028","417.7045mm","110.2852mm","417.5919mm","110.2852mm","420.3295mm","110.2852mm","T","360.00","6028 white"
"SCR","6028","398.6795mm","110.3102mm","398.567mm","110.3102mm","401.3045mm","110.3102mm","T","360.00","6028 white"
"CAPS","6028","379.6795mm","110.3102mm","379.567mm","110.3102mm","382.3045mm","110.3102mm","T","360.00","6028 white"
"NUM","6028","360.6795mm","110.2852mm","360.567mm","110.2852mm","363.3045mm","110.2852mm","T","360.00","6028 white"
"SW70","CJ-SW2A","232.3068mm","47.3125mm","231.6768mm","47.3mm","239.8268mm","44.76mm","T","0.00","' ""
"SW36","CJ-SW2A","399.2068mm","85.3125mm","398.5768mm","85.3mm","406.7268mm","82.76mm","T","0.00","*"
"SW58","CJ-SW2A","418.2068mm","56.8125mm","417.5768mm","56.8mm","425.7268mm","54.26mm","T","0.00","+"
"SW83","CJ-SW2A","184.8068mm","28.3125mm","184.1768mm","28.2999mm","192.3268mm","25.7599mm","T","0.00",",<"
"SW37","CJ-SW2A","418.2068mm","85.3125mm","417.5768mm","85.3mm","425.7268mm","82.76mm","T","0.00","-"
"SW28","CJ-SW2A","218.0568mm","85.3125mm","217.4268mm","85.3mm","225.5768mm","82.76mm","T","0.00","-_"
"SW84","CJ-SW2A","203.8068mm","28.3125mm","203.1768mm","28.2999mm","211.3268mm","25.7599mm","T","0.00",".>"
"SW104","CJ-SW2A","399.2068mm","9.3125mm","398.5768mm","9.3mm","406.7268mm","6.76mm","T","0.00",".Del"
"SW35","CJ-SW2A","380.2068mm","85.3125mm","379.5768mm","85.3mm","387.7268mm","82.76mm","T","0.00","/"
"SW85","CJ-SW2A","222.8068mm","28.3125mm","222.1768mm","28.2999mm","230.3268mm","25.7599mm","T","0.00","/?"
"SW103","CJ-SW2A","370.7068mm","9.3125mm","370.0768mm","9.3mm","378.2268mm","6.76mm","T","0.00","0 Ins"
"SW27","CJ-SW2A","199.0568mm","85.3125mm","198.4268mm","85.3mm","206.5768mm","82.76mm","T","0.00","0)"
"SW88","CJ-SW2A","361.2068mm","28.3125mm","360.5768mm","28.2999mm","368.7268mm","25.7599mm","T","0.00","1 End"
"SW18","CJ-SW2A","28.0568mm","85.3125mm","27.4268mm","85.3mm","35.5768mm","82.76mm","T","0.00","1!"
"SW89","CJ-SW2A","380.2068mm","28.3125mm","379.5768mm","28.2999mm","387.7268mm","25.7599mm","T","0.00","2 ↓"
"SW19","CJ-SW2A","47.0568mm","85.3125mm","46.4268mm","85.3mm","54.5768mm","82.76mm","T","0.00","2@"
"SW90","CJ-SW2A","399.2068mm","28.3125mm","398.5768mm","28.2999mm","406.7268mm","25.7599mm","T","0.00","3 PgDn"
"SW20","CJ-SW2A","66.0568mm","85.3125mm","65.4268mm","85.3mm","73.5768mm","82.76mm","T","0.00","3#"
"SWZ1","ENC0","337.942mm","133.3352mm","338.942mm","133.3352mm","338.942mm","135.8352mm","T","0.00","Encoder=11mm"
"SW72","CJ-SW2A","361.2068mm","47.3125mm","360.5768mm","47.3mm","368.7268mm","44.76mm","T","0.00","4 ←"
"SW21","CJ-SW2A","85.0568mm","85.3125mm","84.4268mm","85.3mm","92.5768mm","82.76mm","T","0.00","4$"
"SW73","CJ-SW2A","380.2068mm","47.3125mm","379.5768mm","47.3mm","387.7268mm","44.76mm","T","0.00","5"
"SW22","CJ-SW2A","104.0568mm","85.3125mm","103.4268mm","85.3mm","111.5768mm","82.76mm","T","0.00","5%"
"SW74","CJ-SW2A","399.2068mm","47.3125mm","398.5768mm","47.3mm","406.7268mm","44.76mm","T","0.00","6 →"
"SW23","CJ-SW2A","123.0568mm","85.3125mm","122.4268mm","85.3mm","130.5768mm","82.76mm","T","0.00","6^"
"SW55","CJ-SW2A","361.2068mm","66.3125mm","360.5768mm","66.2999mm","368.7268mm","63.7599mm","T","0.00","7 Home"
"SW24","CJ-SW2A","142.0568mm","85.3125mm","141.4268mm","85.3mm","149.5768mm","82.76mm","T","0.00","7&"
"SW56","CJ-SW2A","380.2068mm","66.3125mm","379.5768mm","66.2999mm","387.7268mm","63.7599mm","T","0.00","8 ↑"
"SW25","CJ-SW2A","161.0568mm","85.3125mm","160.4268mm","85.3mm","168.5768mm","82.76mm","T","0.00","8*"
"SW57","CJ-SW2A","399.2068mm","66.3125mm","398.5768mm","66.2999mm","406.7268mm","63.7599mm","T","0.00","9 PgUp"
"SW26","CJ-SW2A","180.0568mm","85.3125mm","179.4268mm","85.3mm","187.5768mm","82.76mm","T","0.00","9("
"SW69","CJ-SW2A","213.3068mm","47.3125mm","212.6768mm","47.3mm","220.8268mm","44.76mm","T","0.00","; :"
"SW29","CJ-SW2A","237.0568mm","85.3125mm","236.4268mm","85.3mm","244.5768mm","82.76mm","T","0.00","= +"
"SW60","CJ-SW2A","42.3068mm","47.3125mm","41.6768mm","47.3mm","49.8268mm","44.76mm","T","0.00","A"
"SW94","CJ-SW2A","58.9318mm","9.3125mm","58.3018mm","9.3mm","66.4518mm","6.76mm","T","0.00","Alt-L"
"SW96","CJ-SW2A","201.4318mm","9.3125mm","200.8018mm","9.3mm","208.9518mm","6.76mm","T","0.00","Alt_R"
"SW98","CJ-SW2A","248.9318mm","9.3125mm","248.3018mm","9.3mm","256.4518mm","6.76mm","T","0.00","Fn"
"SW80","CJ-SW2A","127.8068mm","28.3125mm","127.1768mm","28.2999mm","135.3268mm","25.7599mm","T","0.00","B"
"SW30","CJ-SW2A","265.5568mm","85.3125mm","264.9268mm","85.3mm","273.0768mm","82.76mm","T","0.00","Back Space"
"SW78","CJ-SW2A","89.8068mm","28.3125mm","89.1768mm","28.2999mm","97.3268mm","25.7599mm","T","0.00","C"
"SW59","CJ-SW2A","16.1818mm","47.3125mm","15.5518mm","47.3mm","23.7018mm","44.76mm","T","0.00","Caps Lock"
"SW92","CJ-SW2A","11.4318mm","9.3125mm","10.8018mm","9.3mm","18.9518mm","6.76mm","T","0.00","Ctrl-L"
"SW99","CJ-SW2A","272.6818mm","9.3125mm","272.0518mm","9.3mm","280.2018mm","6.76mm","T","0.00","Ctrl_R"
"SW62","CJ-SW2A","80.3068mm","47.3125mm","79.6768mm","47.3mm","87.8268mm","44.76mm","T","0.00","D"
"SW52","CJ-SW2A","299.0568mm","66.3125mm","298.4268mm","66.2999mm","306.5768mm","63.7599mm","T","0.00","Delete"
"SW41","CJ-SW2A","75.5568mm","66.3125mm","74.9268mm","66.2999mm","83.0768mm","63.7599mm","T","0.00","E"
"SW53","CJ-SW2A","318.0568mm","66.3125mm","317.4268mm","66.2999mm","325.5768mm","63.7599mm","T","0.00","End"
"SW91","CJ-SW2A","418.2068mm","18.8125mm","417.5768mm","18.8mm","425.7268mm","16.26mm","T","0.00","Enter-R"
"SW51","CJ-SW2A","272.6706mm","56.8109mm","272.0406mm","56.7984mm","280.1906mm","54.2584mm","T","0.00","Enter_L"
"SW1","CJ-SW2A","9.0568mm","108.3125mm","8.4268mm","108.2999mm","16.5768mm","105.7599mm","T","0.00","Esc"
"SW63","CJ-SW2A","99.3068mm","47.3125mm","98.6768mm","47.3mm","106.8268mm","44.76mm","T","0.00","F"
"SW2","CJ-SW2A","47.0568mm","108.3125mm","46.4268mm","108.2999mm","54.5768mm","105.7599mm","T","0.00","F1"
"SW11","CJ-SW2A","237.0568mm","108.3125mm","236.4268mm","108.3mm","244.5768mm","105.76mm","T","0.00","F10"
"SW12","CJ-SW2A","256.0568mm","108.3125mm","255.4268mm","108.3mm","263.5768mm","105.76mm","T","0.00","F11"
"SW13","CJ-SW2A","275.0568mm","108.3125mm","274.4268mm","108.3mm","282.5768mm","105.76mm","T","0.00","F12"
