"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R2","R0402","11.7376mm","7.7456mm","11.7376mm","7.7456mm","11.2376mm","7.7456mm","B","360.00","5.1K"
"R1","R0402","8.2512mm","7.1125mm","8.2512mm","7.1125mm","8.2512mm","7.6125mm","B","270.00","5.1K"
"CON1","USB5P","9.5042mm","2.7154mm","9.5042mm","2.7154mm","12.5042mm","2.7154mm","T","90.00","USB5P"
"TYPE_C","TYPE-C-F-1(16PIN)","9.4871mm","11.8645mm","9.4871mm","9.5911mm","6.1371mm","9.3753mm","B","90.00","TYPE-C-F-1(16PIN)"
"","Markµã","2.311mm","6.68mm","2.311mm","6.68mm","2.311mm","6.68mm","T","0.00","Comment"
"","Markµã","16.5023mm","7.2282mm","16.5023mm","7.2282mm","16.5023mm","7.2282mm","T","0.00","Comment"

